date,site,site_sampled,location,lat,lon,elevation_m,survey ,verreauxii_tadpoles_detected,swabbed,time_start ,time_end ,temp ,humidity ,wind ,secchi_1,secchi_2,secchi_3,secchi_4,secchi_avg,time_micropredators_collected ,Gambusia_detected,Crayfish_detected ,survey_notes ,quadrant_1,quadrant_2,quadrant_3,quadrant_4,ibutton1_ID,balloon_colour ,quadrant,depth_cm,distance_from_shore_cm,north-south _length_m,east_west_length_m,temp_recording_start_date,notes ,iButton2_ID,balloon_colour .1,quadrant.1,depth_cm.1,distance_from_shore_cm.1,temp_recording_start_date.1,notes .1,Collection date,visit_type,verreauxii_adults_detected,temp,humidity,wind,other species detected (acoustic/observed),notes
2022-12-02 00:00:00,33,18.0,Tidbinbilla off management trail,-35.470561,148.909658,786.190673828125,2,Y,14,10:15:00,13:15:00,22.8,65.2,0.0,90,101,90,104,96.25,01:00:00,N,N,"15% over hanging and submerged grass, lots of algae. 5% canopy cover ","20% over hanging grass, deep drop off, no canopy cover, 10% underwater veg ","20% over hanging grass, deep drop off, no canopy flooded inlet  cover, 10% underwater veg ","20% over hanging grass, deep drop off, no canopy flooded inlet  cover, 10% underwater veg ","Only place tadpoles were present, 20% submerged grasses, no10% canopy cover, algae and submerged grass 5% ",,,,,,,,,,,,,,,,,,Tadpole,,,,,,
2022-10-06 00:00:00,9,22.0,Naas Valley Firetrail (Webs dam),-35.870049,149.00882,1103.0,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult,Y,11.5,93.7,0.0,"Crinia signifera, Limnodynastes tasmaniensis","Very abundant, eggs everywhere "
2022-10-04 00:00:00,47,23.0,Boboyan road,-35.89070189,148.9826585,1168.99682617188,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult,Y,9.2,91.7,2.3,"Crinia signifera only, seen Limnodynastes tasmaniensis","Very abundant, lots of eggs in the water. No tadpoles seen. "
2022-10-12 00:00:00,58,21.0,Hospital Creek,-35.739258,148.995044,958.719909667969,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult,Y,15.4,78.4,2.3,"Crinia signifera, Limnodynastes tasmaniensis, Limnodynastes dumerilii",Very abundant. likely 50-70 males calling in small pond next to creek . 
2022-10-18 00:00:00,34,19.0,Corin flat,-35.518728,148.90946,1220.05541992188,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult,Y,16.6,70.5,0.0,"Crinia signifera, Uperoleia laevigata ",
2022-10-27 00:00:00,68,17.0,Tidbinbilla Black Flats Dam,-35.4632001,148.910118,761.666259765625,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult,Y,14.1,87.6,2.5,"Crinia signifera, Limnodynastes tasmaniensis, Crinia parinsignifera, Litoria peronii, Uperoleiarolia laevigata",Very abundant 
26/09/2022,26,13.0,Campbell park woodland,-35.27885,149.178388,589.423889160156,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult,Y,14.8,63.0,0.0,"Litoria peronii, Pseudophryne laevigata, Crinia parinsignifera, Limnodynastes tasmaniensis, Crinia signifera ",Many calling 
2022-10-10 00:00:00,43,1.0,Northern trail head site,-35.152934,149.157033,656.984741210938,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult,Y,11.1,80.0,7.2,"Crinia signifera, Crinia parinsignifera, Limnodynastes tasmaniensis, Uperoleia laevigata ","Bad wind, moon full"
2022-10-11 00:00:00,41,6.0,Dunlop oval,-35.185117,149.033048,580.0,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult,Y,13.9,75.9,7.6,"Crinia signifera, Crinia parinsignifera, Uperoleia laevigata, Limnodynastes peronii, Limnodynastes tasmaniensid, Litoria peronii","~10-15 calling, many in thorny bushes "
19/09/2022,1,10.0,Watson pond,-35.241248,149.168755,640.9990234375,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult,Y,8.5,61.0,3.9,"Crinia signifera, Limnodynastes peroni, Limnodynastes tasmaniensis, Crinia parinsignifera",Several calling
2022-10-16 00:00:00,27,14.0,Mt. Ainslie near gun club,-35.28228,149.166283,615.625671386719,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult,Y,16.1,61.8,2.9,"Crinia signifera, Crinia parinsignifera, Limnodynastes tasmaniensis, Uperoleia laevigata, Litoria peronii","Calling sporadically, got 7/8 calling  "
2022-10-02 00:00:00,54,8.0,Gungahlin Hill Nature Reserve,-35.209796,149.11719,611.999877929688,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult,Y,7.3,100.0,0.0,"Crinia signifera, Crinia parinsignifera, Litoria peronii, Limnodynastes tasmaniensis, Pseudophryne laevigata",Many calling but very dense terrain 
2022-10-03 00:00:00,4,3.0,Mulligans Flat pond 3,-35.16380909,149.1643346,659.889038085938,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult,Y,12.3,74.3,1.4,"Crinia signifera, Crinia parinsignifera, Limnodynastes tasmaniensis, Uperoleia laevigata, Litoria peronii",Found 5/8 calling 
2022-10-17 00:00:00,59,20.0,Square rock trail,-35.532568,148.901689,1345.53173828125,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult,Y,8.5,84.4,0.0,Crinia signifera only,Found 5 out of 8-10 calling
27/09/2022,6,4.0,Mulligans Flat pond 1,-35.1674,149.155,636.0,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult,Y,14.9,100.0,0.0,"Litoria peronii, Pseudophryne laevigata, Crinia parinsignifera, Limnodynastes tasmaniensis, Crinia signifera ","Heavily raining, 5-10 calling "
2022-09-30 00:00:00,56,9.0,Watson Billabong Pond,-35.232185,149.156279,596.398376464844,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult,Y,10.9,76.2,2.6,"Crinia signifera, Crinia parinsignifera, Limnodynastes peronii, Limnodynastes tasmaniensis","4 calling, all swabbed and measured"
2022-10-02 00:00:00,38,15.0,Urriara rest area,-35.247811,148.955793,471.0,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult,Y,16.0,73.3,0.0,"Crinia signifera, Crinia parinsignifera, Limnodynastes tasmaniensis, Uperoleia laevigata",5 calling 
2022-10-19 00:00:00,55,11.0,Mt. Majura dam 2,-35.250603,149.176689,657.369750976562,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult,Y,17.6,73.4,0.0,"Crinia signifera, Crinia parinsignifera, Litoria peronii, Limnodynastes peronii, Limnodynastes dumerilii, Uperoleia laevigata ",Found 4/4 calling
2022-10-30 00:00:00,15,7.0,Percy Hill Nature Reserve,-35.195294,149.101281,618.673767089844,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult,Y,18.0,70.2,0.0,"Crinia signifera, Crinia parinsignifera, Limnodynastes peronii, Limnodynastes tasmaniensis, Limnodynastes dumerilii, Uperoleia laevigata ",
2022-10-26 00:00:00,33,18.0,Tidbinbilla off management trail,-35.470561,148.909658,786.190673828125,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult,Y,14.6,78.4,1.3,"Crinia signifera, Litoria peronii, Limnodynastes tasmaniensis, Uperoleia laevigata",
2022-10-03 00:00:00,3,2.0,Mulligans Flat pond 2,-35.162979,149.175054,654.998840332031,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult,Y,7.3,100.0,0.0,"Crinia signifera, Crinia parinsignifera, Limnodynastes tasmaniensis, Uperoleia laevigata",Found 2/3 calling 
2022-10-11 00:00:00,42,5.0,Amaroo,-35.163931,149.123604,624.0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult,Y,14.9,77.8,0.0,"Crinia signifera, Crinia parinsignifera, Limnodynastes tasmaniensis",Found 2/4 calling 
2022-10-26 00:00:00,32,16.0,Tidbinbilla pond 2,-35.4591,148.920997,746.221130371094,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult,Y,12.5,98.2,4.1,"Crinia signifera, Crinia parinsignifera, Limnodynastes tasmaniensis, Limnodynastes dumerilii, Litoria peronii, Uperoleia laevigata",
2022-10-30 00:00:00,25,12.0,Mt. Majura south,-35.261699,149.172212,644.988708496094,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult,Y ,16.7,78.4,0.0,"Crinia signifera, Crinia parinsignifera, Limnodynastes tasmaniensis, Uperoleiarolia laevigata, Litoria peronii ",
2022-08-15 00:00:00,10,,Hall TSR,-35.1609,149.0605,630.61474609375,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult,Y,6.2,64.9,0.0,"Crinia signifera, Crinia parinsignifera ",L. verreauxii heard calling for presence/absence data collection
27/09/2022,7,,Gorooyaroo,-35.2111,149.177,627.0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult,N,,,,,No verreauxii heard calling
2022-09-29 00:00:00,49,,Arboretum,-35.291012,149.073303,573.504455566406,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult,,,,,,"No access, and perhaps too large"
2022-09-29 00:00:00,50,,Pinnacle Nature Reserve,-35.261005,149.043717,645.0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult,,,,,,No access (re-vegetation area)
2022-09-29 00:00:00,53,,Aranda Snow Gums,-35.277499,149.082057,584.0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult,N,,,,,No verreauxii heard calling
2022-10-10 00:00:00,12,,Spring Valley pond 1,-35.27856221,149.0088608,556.0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult,N,,,,,No verreauxii heard calling
2022-10-10 00:00:00,11,,Spring Valley pond 2,-35.28430365,149.0075683,581.0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult,N,,,,,No verreauxii heard calling
2022-10-10 00:00:00,13,,Spring Valley pond 3,-35.28845949,149.0076982,605.0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult,N,,,,,No verreauxii heard calling
2022-10-10 00:00:00,14,,Spring Valley pond 4,-35.2925505,149.0049818,614.0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult,N,,,,,No verreauxii heard calling
19/10/2022,24,,Mt. Majura dam 1,-35.251023,149.174601,651.597839355469,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult,N,,,,,No verreauxii heard calling
2022-10-27 00:00:00,62,,Tidbinbilla pond 1,-35.45392,148.928862,752.83056640625,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult,N,,,,"Crinia signifera, Crinia parinsignifera, Litoria peronii, Limnodynastes tasmaniensis, Uperoleiarolia laevigata",No verreauxii heard calling
2022-10-27 00:00:00,61,,Tidbinbilla off closed management trail,-35.457678,148.929969,771.295349121094,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adult,N,,,,"Crinia signifera, Crinia parinsignifera, Litoria peronii, Limnodynastes tasmaniensis, Limnodynastes peronii, Limnodynastes dumerilii",No verreauxii heard calling
